design_id,split,family,task_id,seed,policy,verify_enabled,status,solved,accounted_cost_usd,provider_reported_cost_usd,conservative_reserve_usd,elapsed_s,tool_calls,attempts,model_events,provider_retries,tokens_complete,known_tokens,unknown_token_upper_bound,hidden_passed,hidden_total,public_passed,public_total,verification_calls,verification_elapsed_s,caught_supplemental_failures,supplemental_grader_disagreement,supplemental_grader_disagreement_direction,success_after_repair,regressions_introduced,unnecessary_edits
31:external_boltons_math-repair-1:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-1,31,adaptive,0,completed,1,0.000189,0.000189,0,21.638279,3,1,1,0,1,3202,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-1:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-1,31,adaptive,1,completed,1,0.000176,0.000176,0,34.640562,4,1,1,0,1,3127,0,6,6,3,3,1,0.503007,0,0,,0,0,0
31:external_boltons_math-repair-2:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-2,31,adaptive,0,completed,1,0.000152,0.000152,0,11.007237,3,1,1,0,1,2984,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-2:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-2,31,adaptive,1,completed,1,0.000151,0.000151,0,11.530577,4,1,1,0,1,2980,0,6,6,3,3,1,0.451859,0,0,,0,0,0
31:external_boltons_math-repair-3:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-3,31,adaptive,0,completed,1,0.000339,0.000339,0,47.211683,3,1,1,0,1,4086,0,6,6,3,3,0,0,0,unknown,,0,0,0
31:external_boltons_math-repair-3:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-3,31,adaptive,1,completed,1,0.000336,0.000336,0,27.611249,4,1,1,0,1,4067,0,6,6,3,3,1,0.45235,0,0,,0,0,0
47:external_boltons_math-repair-1:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-1,47,adaptive,0,completed,1,0.000183,0.000183,0,15.365959,3,1,1,0,1,3166,0,6,6,3,3,0,0,0,unknown,,0,0,0
47:external_boltons_math-repair-1:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-1,47,adaptive,1,completed,1,0.000177,0.000177,0,14.819406,4,1,1,0,1,3129,0,6,6,3,3,1,0.607205,0,0,,0,0,0
47:external_boltons_math-repair-2:adaptive:verify-0,external,external_boltons_math,external_boltons_math-repair-2,47,adaptive,0,completed,1,0.001758,0.000155,0.001603,44.922099,3,2,2,1,0,3001,15660,6,6,3,3,0,0,0,unknown,,1,0,0
47:external_boltons_math-repair-2:adaptive:verify-1,external,external_boltons_math,external_boltons_math-repair-2,47,adaptive,1,completed,1,0.000155,0.000155,0,13.730721,4,1,1,0,1,3004,0,6,6,3,3,1,0.452822,0,0,,0,0,0
