family,seed,policy,related_tasks,off_solved,on_solved,verify_minus_off_success_fraction,off_mean_cost_usd,on_mean_cost_usd,verify_minus_off_mean_cost_usd
apportionment,31,adaptive,3,3,3,0.0,0.00013066666666666668,0.00013099999999999999,3.333333333333053e-07
apportionment,31,cheap_only,3,1,1,0.0,9.366666666666666e-05,0.0002,0.00010633333333333335
apportionment,31,escalate_on_failure,3,0,0,0.0,9.266666666666666e-05,0.000146,5.333333333333333e-05
apportionment,31,static_router,3,1,0,-0.3333333333333333,9.433333333333334e-05,9.433333333333334e-05,0.0
apportionment,31,strong_only,3,3,3,0.0,0.0005393333333333334,0.0005386666666666667,-6.66666666666719e-07
apportionment,31,supervised_cost,3,3,3,0.0,0.0005413333333333333,0.00013466666666666667,-0.00040666666666666667
apportionment,47,adaptive,3,3,3,0.0,0.0005266666666666666,0.000129,-0.0003976666666666666
apportionment,47,cheap_only,3,1,2,0.3333333333333333,9.633333333333333e-05,0.00028933333333333334,0.000193
apportionment,47,escalate_on_failure,3,1,1,0.0,9.5e-05,0.000147,5.199999999999999e-05
apportionment,47,static_router,3,1,1,0.0,9.400000000000001e-05,0.00014533333333333333,5.1333333333333325e-05
apportionment,47,strong_only,3,3,3,0.0,0.0005543333333333333,0.00012766666666666666,-0.00042666666666666667
apportionment,47,supervised_cost,3,3,3,0.0,0.000127,0.00012433333333333334,-2.666666666666659e-06
apportionment,73,adaptive,3,3,3,0.0,0.00012933333333333332,0.00012466666666666667,-4.666666666666654e-06
apportionment,73,cheap_only,3,1,1,0.0,0.00010066666666666667,0.00024733333333333335,0.0001466666666666667
apportionment,73,escalate_on_failure,3,0,0,0.0,9.466666666666667e-05,0.00018666666666666666,9.199999999999999e-05
apportionment,73,static_router,3,1,1,0.0,9.499999999999999e-05,0.00013900000000000002,4.4000000000000026e-05
apportionment,73,strong_only,3,3,3,0.0,0.000126,0.00012066666666666667,-5.333333333333332e-06
apportionment,73,supervised_cost,3,3,3,0.0,0.00013233333333333334,0.00013233333333333332,-2.710505431213761e-20
apportionment,101,adaptive,3,3,3,0.0,0.00014433333333333334,0.00013166666666666668,-1.2666666666666658e-05
apportionment,101,cheap_only,3,0,1,0.3333333333333333,9.533333333333334e-05,0.00037433333333333334,0.000279
apportionment,101,escalate_on_failure,3,0,0,0.0,9.5e-05,0.000136,4.0999999999999994e-05
apportionment,101,static_router,3,0,0,0.0,9.5e-05,0.00023833333333333332,0.0001433333333333333
apportionment,101,strong_only,3,3,3,0.0,0.00012633333333333333,0.0005383333333333334,0.00041200000000000004
apportionment,101,supervised_cost,3,3,3,0.0,0.000127,0.00012233333333333334,-4.666666666666654e-06
edit_distance,31,adaptive,3,3,3,0.0,0.00011733333333333333,0.000558,0.0004406666666666667
edit_distance,31,cheap_only,3,3,3,0.0,0.00016533333333333333,0.00014533333333333333,-1.9999999999999998e-05
edit_distance,31,escalate_on_failure,3,3,3,0.0,0.00015933333333333332,0.000392,0.00023266666666666667
edit_distance,31,static_router,3,3,3,0.0,0.00024766666666666665,0.000209,-3.866666666666664e-05
edit_distance,31,strong_only,3,3,3,0.0,0.000125,0.00013466666666666667,9.666666666666667e-06
