split,policy,attempted,solved,provider_failed,accounted_cost_usd,mean_cost_usd_per_episode,median_elapsed_s,mean_tool_calls,tokens_complete,hidden_passed,hidden_total,verification_calls,verification_elapsed_s
test,adaptive,144,128,2,0.036398,0.00025276388888888896,16.1382025,3.5694444444444446,131,722,744,72,36.642161
test,cheap_only,144,123,1,0.021297,0.00014789583333333335,5.472464,3.625,143,719,744,78,40.223116
test,escalate_on_failure,144,117,0,0.018696,0.00012983333333333336,5.369833,3.5833333333333335,144,717,744,77,39.32977200000002
test,static_router,144,121,0,0.017272,0.00011994444444444441,5.495728,3.5625,144,721,744,76,38.80962099999999
test,strong_only,144,131,0,0.028803,0.00020002083333333325,15.7424465,3.5416666666666665,135,731,744,72,39.87800800000001
test,supervised_cost,144,124,1,0.031611,0.00021952083333333334,16.1546365,3.5694444444444446,135,721,744,71,38.31544599999999
validation,adaptive,48,48,0,0.011521,0.0002400208333333333,17.268396000000003,3.7916666666666665,45,240,240,24,12.328705000000001
validation,cheap_only,48,47,0,0.005864,0.00012216666666666672,6.303411499999999,3.6458333333333335,48,239,240,24,11.866112000000001
validation,escalate_on_failure,48,46,0,0.006352,0.0001323333333333334,6.3247395,3.7916666666666665,48,238,240,24,11.938443
validation,static_router,48,46,0,0.008576,0.00017866666666666668,6.8897255,3.875,47,238,240,24,12.668450000000002
validation,strong_only,48,48,0,0.00791,0.00016479166666666668,15.450034500000001,3.8125,47,240,240,24,13.023713000000003
validation,supervised_cost,48,48,0,0.007891,0.00016439583333333332,16.414703,3.7916666666666665,47,240,240,24,12.35347
external,adaptive,24,24,0,0.007294,0.0003039166666666667,15.828537,3.625,23,144,144,12,5.995954000000001
external,cheap_only,24,24,0,0.009171,0.00038212500000000003,15.033047499999999,3.75,24,144,144,12,5.735773
external,escalate_on_failure,24,24,0,0.010894,0.00045391666666666654,14.3706885,3.75,23,144,144,12,5.787151
external,static_router,24,24,0,0.00914,0.00038083333333333334,14.14685,3.7916666666666665,24,144,144,12,5.948658
external,strong_only,24,24,0,0.009793,0.00040804166666666663,19.8540065,3.7916666666666665,22,144,144,12,6.335203000000002
external,supervised_cost,24,23,0,0.009384,0.0003909999999999999,16.02498,3.7083333333333335,22,144,144,12,5.990689999999999
