seed,policy,attempted,solved,provider_failed,accounted_cost_usd
31,adaptive,36,30,2,0.015536000000000001
31,cheap_only,36,30,1,0.0054009999999999996
31,escalate_on_failure,36,29,0,0.004678
31,static_router,36,30,0,0.0043349999999999994
31,strong_only,36,34,0,0.008055
31,supervised_cost,36,30,1,0.014411
47,adaptive,36,31,0,0.008303
47,cheap_only,36,33,0,0.004784999999999999
47,escalate_on_failure,36,32,0,0.004360000000000001
47,static_router,36,32,0,0.004488
47,strong_only,36,32,0,0.008221
47,supervised_cost,36,31,0,0.006793
73,adaptive,36,34,0,0.005534000000000001
73,cheap_only,36,31,0,0.006569999999999999
73,escalate_on_failure,36,28,0,0.005263
73,static_router,36,31,0,0.004274
73,strong_only,36,33,0,0.004379
73,supervised_cost,36,31,0,0.006003
101,adaptive,36,33,0,0.007025000000000001
101,cheap_only,36,29,0,0.004541000000000002
101,escalate_on_failure,36,28,0,0.004395000000000001
101,static_router,36,28,0,0.004175000000000001
101,strong_only,36,32,0,0.008147999999999999
101,supervised_cost,36,32,0,0.004404
