split,policy,paired_tasks_seeds,off_solved,on_solved,on_gain,on_loss,off_cost_usd,on_cost_usd
test,adaptive,72,63,65,6,4,0.022432,0.013966
test,cheap_only,72,60,63,4,1,0.00889,0.012407
test,escalate_on_failure,72,58,59,3,2,0.008395,0.010301
test,static_router,72,61,60,3,4,0.008127,0.009145
test,strong_only,72,66,65,4,5,0.016291,0.012512
test,supervised_cost,72,64,60,1,5,0.012551,0.01906
validation,adaptive,24,24,24,0,0,0.004376,0.007145
validation,cheap_only,24,24,23,0,1,0.002729,0.003135
validation,escalate_on_failure,24,22,24,2,0,0.003342,0.00301
validation,static_router,24,24,22,0,2,0.003404,0.005172
validation,strong_only,24,24,24,0,0,0.004553,0.003357
validation,supervised_cost,24,24,24,0,0,0.004619,0.003272
external,adaptive,12,12,12,0,0,0.004608,0.002686
external,cheap_only,12,12,12,0,0,0.004613,0.004558
external,escalate_on_failure,12,12,12,0,0,0.004619,0.006275
external,static_router,12,12,12,0,0,0.004615,0.004525
external,strong_only,12,12,12,0,0,0.00467,0.005123
external,supervised_cost,12,11,12,1,0,0.004568,0.004816
