split,policy,label,observed_runs,denominator_runs,frequency,interpretation
validation,cheap_only,looping:repeated_candidate,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,strong_only,implementation:invalid_candidate,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,strong_only,verification:visible_pass_hidden_fail,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,cheap_only,implementation:invalid_candidate,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,cheap_only,looping:repeated_candidate,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,cheap_only,verification:visible_pass_hidden_fail,3,30,0.1,"Observed proxy, not a causal model reasoning attribution"
test,escalate_on_failure,implementation:invalid_candidate,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,escalate_on_failure,verification:visible_pass_hidden_fail,3,30,0.1,"Observed proxy, not a causal model reasoning attribution"
test,static_router,implementation:invalid_candidate,3,30,0.1,"Observed proxy, not a causal model reasoning attribution"
test,static_router,looping:repeated_candidate,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
test,static_router,verification:visible_pass_hidden_fail,2,30,0.06666666666666667,"Observed proxy, not a causal model reasoning attribution"
test,adaptive,implementation:invalid_candidate,2,30,0.06666666666666667,"Observed proxy, not a causal model reasoning attribution"
test,adaptive,verification:visible_pass_hidden_fail,1,30,0.03333333333333333,"Observed proxy, not a causal model reasoning attribution"
