id,task_id,family,split,category,policy,seed,status,solved,public_passed,public_total,heldout_passed,heldout_total,cost_usd,tokens,elapsed_s,tool_calls,steps,attempts,regressions_introduced,unnecessary_edits,escalations,learned_decisions,fallback_decisions,success_after_repair,stop_reason,failure_labels
895c3392c324431a8502c7fdd2c022bc,analytics-deduplicated-means,analytics,validation,multi_file,static_router,17,completed,True,2,2,4,4,0.000139,2058,6.094786,3,1,1,0,0,0,0,0,False,visible_tests_pass,
79e17f032159481abebb82aa49a71dfb,analytics-deduplicated-means,analytics,validation,multi_file,adaptive,17,completed,True,2,2,4,4,0.000198,2232,37.825821,3,1,1,0,0,0,1,0,False,visible_tests_pass,
1e3d7c00f8304077be6864a1f9e685bc,analytics-deduplicated-means,analytics,validation,multi_file,cheap_only,17,completed,True,2,2,4,4,0.000144,2095,9.124792,3,1,1,0,0,0,0,0,False,visible_tests_pass,
ab8f3694fa2a4447bf082ce826f67010,analytics-deduplicated-means,analytics,validation,multi_file,escalate_on_failure,17,completed,True,2,2,4,4,0.000156,2186,6.773578,3,1,1,0,0,0,0,0,False,visible_tests_pass,
05d1dab6a35c4295959f8fafa409ea25,analytics-deduplicated-means,analytics,validation,multi_file,strong_only,17,completed,True,2,2,4,4,0.000196,2217,46.591352,3,1,1,0,0,0,0,0,False,visible_tests_pass,
a05340527435473ebb67a1c29c5da36d,analytics-partial-buckets,analytics,validation,feature,escalate_on_failure,17,completed,True,2,2,4,4,0.000122,1909,5.266019,3,1,1,0,0,0,0,0,False,visible_tests_pass,
ba38dea1f3ab46598f5246b9bafa353d,analytics-partial-buckets,analytics,validation,feature,cheap_only,17,completed,True,2,2,4,4,0.000151,2133,6.583774,3,1,1,0,0,0,0,0,False,visible_tests_pass,
a9f58e9fc5d64c8a9eb82fdba301fe15,analytics-partial-buckets,analytics,validation,feature,adaptive,17,completed,True,2,2,4,4,0.000133,1827,15.594001,3,1,1,0,0,0,1,0,False,visible_tests_pass,
6b665336e4ab45eaa91bb2f874dd381a,analytics-partial-buckets,analytics,validation,feature,static_router,17,completed,True,2,2,4,4,0.000123,1914,5.628871,3,1,1,0,0,0,0,0,False,visible_tests_pass,
df4e4dd6944d4dc3ae563a206430472f,analytics-partial-buckets,analytics,validation,feature,strong_only,17,completed,True,2,2,4,4,0.000118,1741,12.081563,3,1,1,0,0,0,0,0,False,visible_tests_pass,
728aebc7e6514e9b8a25683c18c43283,analytics-quantile-index,analytics,validation,failing_tests,strong_only,17,completed,True,2,2,4,4,0.000143,1850,33.451075,3,1,1,0,0,0,0,0,False,visible_tests_pass,
fc81e5696e764baca7086ef48e99e445,analytics-quantile-index,analytics,validation,failing_tests,escalate_on_failure,17,completed,True,2,2,4,4,0.000141,2026,6.403246,3,1,1,0,0,0,0,0,False,visible_tests_pass,
13b7cf8543de4f7caf5f930fd1ee17c3,analytics-quantile-index,analytics,validation,failing_tests,cheap_only,17,completed,True,2,2,4,4,0.000136,1982,5.977572,3,1,1,0,1,0,0,0,False,visible_tests_pass,
19d53cad3062403b859a4c567f790c66,analytics-quantile-index,analytics,validation,failing_tests,adaptive,17,completed,True,2,2,4,4,0.000134,1797,16.786896,3,1,1,0,0,0,1,0,False,visible_tests_pass,
1fa8b53a3dff4498850945c50937c298,analytics-quantile-index,analytics,validation,failing_tests,static_router,17,completed,True,2,2,4,4,0.000105,1746,4.399273,3,1,1,0,0,0,0,0,False,visible_tests_pass,
a3b0a8d3806847ff880a77842274cf33,analytics-reporting-recovery,analytics,validation,long_horizon,strong_only,17,completed,True,2,2,5,5,0.000223,2405,19.345143,3,1,1,0,1,0,0,0,False,visible_tests_pass,
b5753515fe15460e8e6a7a56562b4897,analytics-reporting-recovery,analytics,validation,long_horizon,static_router,17,completed,True,2,2,5,5,0.000141,2094,6.526103,3,1,1,0,1,0,0,0,False,visible_tests_pass,
ab3d4f96e2634374a33a70421bb5bc52,analytics-reporting-recovery,analytics,validation,long_horizon,adaptive,17,completed,True,2,2,5,5,0.000219,2383,19.379645,3,1,1,0,0,0,1,0,False,visible_tests_pass,
9091f430c05e4dc39e4b1cb330a89271,analytics-reporting-recovery,analytics,validation,long_horizon,escalate_on_failure,17,completed,True,2,2,5,5,0.000131,2021,5.324584,3,1,1,0,0,0,0,0,False,visible_tests_pass,
bc08f6f2aa0f416395f4b1a7e7a183d1,analytics-reporting-recovery,analytics,validation,long_horizon,cheap_only,17,completed,True,2,2,5,5,0.000131,2021,5.368042,3,1,1,0,0,0,0,0,False,visible_tests_pass,
046e5b4b46e2484b9858343315dc269d,analytics-window-boundary,analytics,validation,bug_fix,cheap_only,17,completed,True,2,2,4,4,0.000109,1783,8.288585,3,1,1,0,0,0,0,0,False,visible_tests_pass,
ab16eada58b74bc09422900fe0465ec3,analytics-window-boundary,analytics,validation,bug_fix,adaptive,17,completed,True,2,2,4,4,0.000112,1806,5.616388,3,1,1,0,0,0,1,0,False,visible_tests_pass,
c40d90da46a44286b8220a96483a8629,analytics-window-boundary,analytics,validation,bug_fix,static_router,17,completed,True,2,2,4,4,0.000113,1816,4.74674,3,1,1,0,0,0,0,0,False,visible_tests_pass,
ddded6a871544f0287a83f3dbce0cafe,analytics-window-boundary,analytics,validation,bug_fix,escalate_on_failure,17,completed,True,2,2,4,4,0.000113,1814,4.521079,3,1,1,0,0,0,0,0,False,visible_tests_pass,
bfac688fc7ab4e088913d62c452d5ba0,analytics-window-boundary,analytics,validation,bug_fix,strong_only,17,failed,False,1,2,,4,0.001323,,0.727056,1,1,1,0,,0,0,0,False,provider_error,
55c58e61542a49b5bf7ef5ae4764d954,federation-clock-components,federation,test,bug_fix,strong_only,17,failed,False,1,2,,4,0.001334,,0.798679,1,1,1,0,,0,0,0,False,provider_error,
78c57982291341f5b05661b8db8192af,federation-clock-components,federation,test,bug_fix,cheap_only,17,completed,True,2,2,4,4,0.000113,1780,5.53816,3,1,1,0,0,0,0,0,False,visible_tests_pass,
df7a453f2d1b4083ab39d94a3f41f97b,federation-clock-components,federation,test,bug_fix,static_router,17,completed,True,2,2,4,4,0.000109,1752,5.047262,3,1,1,0,0,0,0,0,False,visible_tests_pass,
9886647274ba477d896fbc68eaedb4d1,federation-clock-components,federation,test,bug_fix,escalate_on_failure,17,completed,True,2,2,4,4,0.000109,1752,4.930154,3,1,1,0,0,0,0,0,False,visible_tests_pass,
3b44c44a29754eb087100a901d2405da,federation-clock-components,federation,test,bug_fix,adaptive,17,completed,True,2,2,4,4,0.000109,1752,4.753595,3,1,1,0,0,0,1,0,False,visible_tests_pass,
a1b618fb09f44a2badcdd4a607e5bb88,federation-clock-join,federation,test,refactor,cheap_only,17,completed,True,2,2,4,4,0.000139,2125,6.25911,3,1,1,0,0,0,0,0,False,visible_tests_pass,
48af92038de4406f95dd8332ba41547e,federation-clock-join,federation,test,refactor,static_router,17,completed,True,2,2,4,4,0.000139,2121,5.623783,3,1,1,0,0,0,0,0,False,visible_tests_pass,
6f7e68b50e844f29b6ca43a5954fdc80,federation-clock-join,federation,test,refactor,adaptive,17,failed,False,0,2,,4,0.00137,,0.778985,1,1,1,0,,0,1,0,False,provider_error,
fefff3ad01594f9c8d0ebaef743045d6,federation-clock-join,federation,test,refactor,strong_only,17,failed,False,0,2,,4,0.00137,,0.723513,1,1,1,0,,0,0,0,False,provider_error,
28e909469bf14362a11d91cf5e9b5e8d,federation-clock-join,federation,test,refactor,escalate_on_failure,17,completed,True,2,2,4,4,0.00014,2133,6.070221,3,1,1,0,0,0,0,0,False,visible_tests_pass,
8e396040521949e9b20849aca0f42ca8,federation-replica-recovery,federation,test,long_horizon,static_router,17,failed,False,1,2,,5,0.001794,,15.887925,3,3,3,0,,1,0,0,False,provider_error,
97b619bb602c4cf1a4731017208013df,federation-replica-recovery,federation,test,long_horizon,strong_only,17,failed,False,0,2,,5,0.001352,,0.667712,1,1,1,0,,0,0,0,False,provider_error,
3cb944a9b80f4ea0ab4fb9b76249a1d0,federation-replica-recovery,federation,test,long_horizon,escalate_on_failure,17,completed,False,2,2,4,5,0.000492,6276,84.087407,4,3,3,0,0,1,0,0,False,visible_tests_pass,implementation:invalid_candidate;verification:visible_pass_hidden_fail
c7e73fe5d6214995b594ae7d0f57a9fd,federation-replica-recovery,federation,test,long_horizon,cheap_only,17,completed,False,2,2,4,5,0.000432,5404,23.493826,4,2,2,0,1,0,0,0,False,visible_tests_pass,verification:visible_pass_hidden_fail
8937621b54a246d8b08c7ba3fce3e2be,federation-replica-recovery,federation,test,long_horizon,adaptive,17,completed,False,1,2,2,5,0.000649,8373,88.941232,3,4,4,0,0,0,1,3,False,invalid_response_retry_cap,implementation:invalid_candidate
96c1338df32c4302b1061b6cae073475,federation-strict-frontier,federation,test,failing_tests,cheap_only,17,completed,True,2,2,4,4,0.000289,3160,11.285272,3,1,1,0,0,0,0,0,False,visible_tests_pass,
d68fbdf0c7b747bca9d2bb2818803ae1,federation-strict-frontier,federation,test,failing_tests,static_router,17,completed,True,2,2,4,4,0.000198,2460,7.869287,3,1,1,0,0,0,0,0,False,visible_tests_pass,
84bad507ff5f40e0af82417570bda1cd,federation-strict-frontier,federation,test,failing_tests,adaptive,17,completed,True,2,2,4,4,0.000198,2175,36.148472,3,1,1,0,0,0,1,0,False,visible_tests_pass,
0a9b93626b484499a7e605a2b15538b7,federation-strict-frontier,federation,test,failing_tests,strong_only,17,completed,True,2,2,4,4,0.000676,8100,127.689171,4,4,4,0,0,0,0,0,True,visible_tests_pass,implementation:invalid_candidate
85070f1d1c8343c887946a49ce139d60,federation-strict-frontier,federation,test,failing_tests,escalate_on_failure,17,completed,True,2,2,4,4,0.000364,4658,29.03869,4,2,2,0,1,1,0,0,True,visible_tests_pass,
687b80cd86e147c0a1021ead97069019,federation-tombstone-policy,federation,test,feature,escalate_on_failure,17,completed,True,2,2,4,4,0.000105,1859,4.11198,3,1,1,0,0,0,0,0,False,visible_tests_pass,
37d0612c15544e7fab43807025a730b0,federation-tombstone-policy,federation,test,feature,static_router,17,completed,True,2,2,4,4,0.000253,3907,20.673794,4,2,2,0,0,1,0,0,True,visible_tests_pass,
5d783eb5d1e94c10acf3b2ad8f75b45a,federation-tombstone-policy,federation,test,feature,strong_only,17,completed,True,2,2,4,4,0.000316,4242,61.895177,4,2,2,0,0,0,0,0,True,visible_tests_pass,
549e71667d364ce69363e2807a4312ae,federation-tombstone-policy,federation,test,feature,cheap_only,17,completed,True,2,2,4,4,0.000359,5967,12.792672,4,3,3,0,0,0,0,0,True,visible_tests_pass,implementation:invalid_candidate
b60276c81ae547c6958ca8329b83a380,federation-tombstone-policy,federation,test,feature,adaptive,17,completed,True,2,2,4,4,0.000177,2171,38.421221,3,1,1,0,0,0,1,0,False,visible_tests_pass,
