run_id,task_id,family,split,policy,seed,status,success,hidden_passed,hidden_total,accounted_cost_usd,measured_inference_cost_usd,unconfirmed_reserve_usd,tokens,latency_s,tool_calls,attempts,decisions,provider_retries,escalations,regressions,unnecessary_edits_proxy,verification_calls,verification_elapsed_s,caught_supplemental_failures,success_after_supplemental_failure,supplemental_grader_disagreement,supplemental_grader_disagreement_direction,learned_decisions,fallback_decisions,stop_decisions,stop_fallback_decisions,stop_constraint_decisions,verify_decisions,non_stop_non_verify_decisions,non_stop_non_verify_learned_decisions,non_stop_non_verify_fallback_decisions,non_stop_non_verify_provider_retry_decisions,non_stop_non_verify_other_decisions
01d012179c7449dfa1a3f5f9a887522c,graph_dependencies-repair-3,graph_dependencies,test,adaptive,17,completed,1,5,5,7.9e-05,7.9e-05,0.0,1149,6.847463,4,1,3,0,0,0,0,1,0.452404,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
03ef265acb7c44cca3feb6aa73ff28b6,edit_distance-repair-3,edit_distance,test,adaptive,17,completed,1,6,6,0.000112,0.000112,0.0,1341,13.183177,4,1,3,0,0,0,0,1,0.45218,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
0bfba2d58e234516adea92392609e227,graph_dependencies-repair-2,graph_dependencies,test,escalate_on_failure,17,completed,1,5,5,8.9e-05,8.9e-05,0.0,1319,5.890257,4,1,3,0,0,0,1,1,0.452809,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
0c0432172a584a9da763a1abb25787a3,binary_protocol-repair-3,binary_protocol,validation,adaptive,17,completed,1,5,5,0.000133,0.000133,0.0,1426,15.686419,4,1,3,0,0,0,1,1,0.50222,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
0c9587bde5ed4c98b161c190201e6343,graph_dependencies-repair-1,graph_dependencies,test,strong_only,17,completed,1,5,5,9.3e-05,9.3e-05,0.0,1234,13.980674,4,1,3,0,0,0,0,1,0.503148,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
0ea95922bc1c40bfb9dc687ef4c1585e,tabular_join-repair-2,tabular_join,test,supervised_cost,17,completed,1,4,4,0.000127,0.000127,0.0,1387,11.511842,4,1,3,0,0,0,1,1,0.452164,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
0ec69f2789534cb1a51b48bc395a0e04,apportionment-repair-1,apportionment,test,cheap_only,17,completed,1,5,5,9.5e-05,9.5e-05,0.0,1346,5.996372,4,1,3,0,0,0,1,1,0.504361,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
0f1311a5d028499ca84f5a94cae57b65,tabular_join-repair-3,tabular_join,test,escalate_on_failure,17,completed,1,4,4,0.000119,0.000119,0.0,1494,6.357106,4,1,3,0,0,0,1,1,0.501629,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
113025ffd2974da581f73b70f3fe852d,apportionment-repair-2,apportionment,test,adaptive,17,completed,1,5,5,0.000145,0.000145,0.0,1521,15.718488,4,1,3,0,0,0,1,1,0.503822,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
120850964b184f4eb07e7502b2912208,interpolation-repair-3,interpolation,test,escalate_on_failure,17,completed,1,5,5,0.000108,0.000108,0.0,1380,7.022845,4,1,3,0,0,0,1,1,0.451899,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
14e47d73eda8434eb0edc7db39027c27,geospatial-repair-1,geospatial,validation,cheap_only,17,completed,1,5,5,0.000243,0.000243,0.0,3683,18.788548,5,3,5,0,0,0,0,1,0.502241,0,False,False,,0,0,1,0,1,1,3,0,0,0,3
163105e9f81048c294369da733e5771b,interpolation-repair-2,interpolation,test,strong_only,17,completed,0,4,5,0.000149,0.000149,0.0,1474,28.87381,4,1,3,0,0,0,1,1,0.40102,0,False,True,missed_failure,0,0,1,0,1,1,1,0,0,0,1
16389abf1be34b33bcea51c81df9f46f,apportionment-repair-2,apportionment,test,cheap_only,17,completed,1,5,5,0.000121,0.000121,0.0,1545,6.871538,4,1,3,0,0,0,1,1,0.451973,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
189a41c702544671835fcb50883c4c34,binary_protocol-repair-1,binary_protocol,validation,supervised_cost,17,completed,1,5,5,0.000113,0.000113,0.0,1309,12.376146,4,1,3,0,0,0,0,1,0.400512,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
18a809e81fe441a984492c1ea5bf9ebb,tabular_join-repair-1,tabular_join,test,static_router,17,completed,1,4,4,9.3e-05,9.3e-05,0.0,1290,5.49824,4,1,3,0,0,0,1,1,0.501422,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
18c6709e036b42c8924cd2b0d1621520,tabular_join-repair-2,tabular_join,test,static_router,17,completed,1,4,4,9.8e-05,9.8e-05,0.0,1348,8.118915,4,1,3,0,0,0,1,1,0.504396,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
190e04c03e5b49e28e71d695fc9ebd60,expression_engine-repair-2,expression_engine,test,adaptive,17,completed,1,6,6,0.000144,0.000144,0.0,1512,18.759508,4,1,3,0,0,0,1,1,0.451624,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
1aa54409ae944de9a268bac15c5b25bd,external_boltons_math-repair-1,external_boltons_math,external,adaptive,17,completed,1,6,6,0.000183,0.000183,0.0,3167,14.313697,4,1,3,0,0,0,0,1,1.020356,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
1c3c331e24ff41c09f4a64d599343dbc,external_boltons_math-repair-3,external_boltons_math,external,cheap_only,17,completed,1,6,6,0.000263,0.000263,0.0,3971,16.37439,4,1,3,0,0,0,0,1,0.812431,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
21e6655c0d9d4d5c83806dc5f028ecc6,apportionment-repair-2,apportionment,test,static_router,17,completed,0,4,5,9.7e-05,9.7e-05,0.0,1362,5.908953,4,1,3,0,0,0,1,1,0.452425,0,False,True,missed_failure,0,0,1,0,1,1,1,0,0,0,1
2451bebd2dec4b2fbb2a41a7c8a6b2da,graph_dependencies-repair-2,graph_dependencies,test,strong_only,17,completed,1,5,5,0.000119,0.000119,0.0,1386,10.911867,4,1,3,0,0,0,1,1,0.401722,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
272a9d1f1a6240bdba5399a7a3fca08b,edit_distance-repair-2,edit_distance,test,supervised_cost,17,completed,1,6,6,0.000108,0.000108,0.0,1323,13.795775,4,1,3,0,0,0,0,1,0.503303,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
27e61eb9cf3147b389fcea28a0942001,geospatial-repair-1,geospatial,validation,adaptive,17,completed,1,5,5,0.000132,0.000132,0.0,2023,10.506952,5,2,4,0,0,0,0,1,0.502408,0,False,False,,1,1,1,0,1,1,2,1,1,0,0
28b770b1d910470bb9c46370de8bfc79,interpolation-repair-3,interpolation,test,adaptive,17,completed,1,5,5,9.6e-05,9.6e-05,0.0,1159,11.548449,4,1,3,0,0,0,0,1,0.506262,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
2978ff42d87e409c9cb962afc3dd6a86,binary_protocol-repair-3,binary_protocol,validation,strong_only,17,completed,1,5,5,0.000109,0.000109,0.0,1283,12.093818,4,1,3,0,0,0,1,1,0.503026,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
2bde4ebf8aa943e3ab581a7fc84c40b6,geospatial-repair-2,geospatial,validation,supervised_cost,17,completed,1,5,5,0.000196,0.000196,0.0,2535,17.84503,5,2,4,0,0,0,0,1,0.815527,0,False,False,,2,1,1,1,0,1,2,2,0,0,0
2eae45c59ef541d8849f3250b0812ab3,apportionment-repair-3,apportionment,test,supervised_cost,17,completed,1,5,5,0.000114,0.000114,0.0,1333,17.818586,4,1,3,0,0,0,0,1,0.452423,0,False,False,,1,1,1,1,0,1,1,1,0,0,0
2fcdd33ad80b4eed9b00670639e906a0,tabular_join-repair-2,tabular_join,test,cheap_only,17,completed,1,4,4,0.000185,0.000185,0.0,2645,10.360666,5,2,4,0,0,0,1,1,0.452453,0,False,False,,0,0,1,0,1,1,2,0,0,0,2
2feeaaadf96147c9ae6d96c99991c0e6,expression_engine-repair-3,expression_engine,test,adaptive,17,completed,1,6,6,0.000125,0.000125,0.0,1400,11.458168,4,1,3,0,0,0,0,1,0.452901,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
323c7e5c7f864940a98c3b5dc5ffb524,geospatial-repair-1,geospatial,validation,static_router,17,completed,1,5,5,0.000279,0.000279,0.0,3713,23.294358,5,3,5,0,1,0,0,1,0.503472,0,False,False,,0,0,1,0,1,1,3,0,0,0,3
3c8fe858f8e34b4592bf396fbc7327b3,edit_distance-repair-2,edit_distance,test,escalate_on_failure,17,completed,1,6,6,0.000119,0.000119,0.0,1554,16.937,4,1,3,0,0,0,1,1,0.452373,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
3c910d74c8a146399df55eeb3e9b476c,binary_protocol-repair-1,binary_protocol,validation,strong_only,17,completed,1,5,5,0.000126,0.000126,0.0,1388,14.072205,4,1,3,0,0,0,0,1,0.450481,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
4266a499f8f843b9918b125a4dd390f3,external_boltons_math-repair-2,external_boltons_math,external,static_router,17,completed,1,6,6,0.000336,0.000336,0.0,4533,16.819764,4,1,3,0,0,0,1,1,0.504999,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
42878137c92c4e5c9a648199a6e414f3,external_boltons_math-repair-2,external_boltons_math,external,adaptive,17,completed,1,6,6,0.000138,0.000138,0.0,2900,10.889688,4,1,3,0,0,0,0,1,0.452613,0,False,False,,1,0,1,0,1,1,1,1,0,0,0
42cea3c1fc1d432b886a604a830b0374,binary_protocol-repair-3,binary_protocol,validation,static_router,17,completed,1,5,5,0.000125,0.000125,0.0,1555,7.937585,4,1,3,0,0,0,1,1,0.502651,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
45040d7e076e40e783a0192e66e6ed79,binary_protocol-repair-2,binary_protocol,validation,static_router,17,completed,1,5,5,0.00011,0.00011,0.0,1447,6.850095,4,1,3,0,0,0,1,1,0.795446,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
4504581a783b4e5bad65b163ff22bd3c,geospatial-repair-2,geospatial,validation,escalate_on_failure,17,completed,1,5,5,6.7e-05,6.7e-05,0.0,1072,5.032869,4,1,3,0,0,0,0,1,0.502825,0,False,False,,0,0,1,0,1,1,1,0,0,0,1
